userInstruction,current_state,needsClarification,message,results
电视声音太大了，吵到邻居了。,"[{""deviceId"": ""LivingRoomTV"", ""parameters"": {""volume"": 60}, ""status"": ""on""}, {""deviceId"": ""BedroomTV"", ""parameters"": {""volume"": 35}, ""status"": ""on""}, {""deviceId"": ""KitchenTV"", ""parameters"": {""volume"": 25}, ""status"": ""on""}]",True,您想调整哪个区域的电视音量呢？客厅、卧室还是厨房的电视机？,[]
客厅里有点干燥，加点湿气。,"[{""deviceId"": ""LivingRoomHumidifier"", ""parameters"": {""humidity"": 35}, ""status"": ""off""}, {""deviceId"": ""BedroomHumidifier"", ""parameters"": {""humidity"": 45}, ""status"": ""on""}, {""deviceId"": ""StudyRoomHumidifier"", ""parameters"": {""humidity"": 40}, ""status"": ""off""}]",True,您是想开启客厅的加湿器，还是需要调整其他设备来增加湿度？,[]
房间里的温度有点高，感觉闷。,"[{""deviceId"": ""LivingRoomAC"", ""parameters"": {""temperature"": 28}, ""status"": ""on""}, {""deviceId"": ""BedroomFan"", ""parameters"": {""speed"": 4}, ""status"": ""on""}, {""deviceId"": ""KitchenAC"", ""parameters"": {""temperature"": 26}, ""status"": ""on""}, {""deviceId"": ""BathroomFan"", ""parameters"": {""speed"": 3}, ""status"": ""off""}]",True,请问您要调整哪个设备的温度？可能的设备包括LivingRoomAC和KitchenAC。,[]
打开厨房的抽油烟机。,"[{""deviceId"": ""KitchenHood"", ""parameters"": {}, ""status"": ""off""}]",False,已为您打开厨房的抽油烟机。,"[{""deviceId"": ""KitchenHood"", ""status"": ""on"", ""action"": ""turn_on"", ""parameters"": {}}]"
书房里光线太暗了，能不能亮一点？,"[{""deviceId"": ""StudyRoomLamp"", ""parameters"": {""brightness"": 40}, ""status"": ""on""}, {""deviceId"": ""StudyRoomLight"", ""parameters"": {""brightness"": 50}, ""status"": ""on""}]",True,您是想调整台灯亮度还是顶灯亮度呢？目前有两个可用选项。,[]
声音太小了，听不清楚。,"[{""deviceId"": ""LivingRoomTV"", ""parameters"": {""volume"": 15}, ""status"": ""on""}, {""deviceId"": ""BedroomLight"", ""parameters"": {""brightness"": 20}, ""status"": ""on""}, {""deviceId"": ""KitchenSpeaker"", ""parameters"": {""volume"": 5}, ""status"": ""off""}, {""deviceId"": ""BathroomFan"", ""parameters"": {""speed"": 2}, ""status"": ""off""}]",True,您是说想调整哪个设备的音量呢？目前有客厅电视和厨房音响可以调节音量。最近播放的设备音量都是偏低的，需要帮您把哪个调大些呢？,[]
房间里有点吵，能不能安静点？,"[{""deviceId"": ""LivingRoomTV"", ""parameters"": {""volume"": 45}, ""status"": ""on""}, {""deviceId"": ""BedroomSpeaker"", ""parameters"": {""volume"": 25}, ""status"": ""on""}, {""deviceId"": ""KitchenRadio"", ""parameters"": {""volume"": 15}, ""status"": ""on""}, {""deviceId"": ""StudyFan"", ""parameters"": {""speed"": 4}, ""status"": ""on""}]",True,您想让哪个设备调整音量？当前有多个设备可能发出声音。请具体说明需要调整的设备，例如客厅电视、卧室音响或厨房收音机。,[]
现在太安静了，能不能有点声音？,"[{""deviceId"": ""LivingRoomSpeaker"", ""parameters"": {""volume"": 0}, ""status"": ""off""}, {""deviceId"": ""BedroomSpeaker"", ""parameters"": {""volume"": 0}, ""status"": ""off""}, {""deviceId"": ""KitchenRadio"", ""parameters"": {""volume"": 0}, ""status"": ""off""}, {""deviceId"": ""BathroomSpeaker"", ""parameters"": {""volume"": 0}, ""status"": ""off""}]",True,您希望开启哪个房间的音响设备？有LivingRoomSpeaker、BedroomSpeaker、KitchenRadio和BathroomSpeaker可供选择。,[]
太吵了，能不能安静一点？,"[{""deviceId"": ""LivingRoomTV"", ""parameters"": {""volume"": 70}, ""status"": ""on""}, {""deviceId"": ""BedroomSpeaker"", ""parameters"": {""volume"": 40}, ""status"": ""on""}, {""deviceId"": ""KitchenRadio"", ""parameters"": {""volume"": 20}, ""status"": ""off""}, {""deviceId"": ""BathroomExhaustFan"", ""parameters"": {""speed"": 2}, ""status"": ""on""}]",True,您希望调整哪些设备来降低噪音呢？当前可能发出声音的设备包括电视、音箱、收音机和换气扇。,[]
把客厅的电视调到第8频道,"[{""deviceId"": ""LivingRoomTV"", ""parameters"": {""channel"": 5}, ""status"": ""on""}]",False,已将客厅电视切换到8频道,"[{""deviceId"": ""LivingRoomTV"", ""status"": ""on"", ""action"": ""adjust"", ""parameters"": {""channel"": 8}}]"
